Affair,Age,Happiness
Faithful,37,4.532393007
Faithful,37,4.974889881
Faithful,37,6.896962958
Faithful,27,5.350363011
Faithful,37,4.895450795
Faithful,22,4.761391852
Faithful,57,5.278217186
Faithful,37,4.50148222
Faithful,22,3.973059148
Faithful,27,4.51529536
Faithful,57,4.59150257
Faithful,32,3.362321516
Faithful,22,4.326957215
Faithful,32,4.192565905
Faithful,37,5.484904412
Faithful,32,5.125783682
Faithful,42,5.108022312
Faithful,27,4.942873222
Faithful,37,4.743409576
Faithful,37,2.541107127
Faithful,32,2.302260786
Faithful,22,4.245635666
Faithful,27,4.009045778
Faithful,27,5.286332659
Faithful,42,4.094252967
Faithful,42,2.784785318
Faithful,27,1.118439938
Faithful,22,5.472027876
Faithful,37,5.027162744
Faithful,22,4.317599118
Faithful,27,3.891137517
Faithful,32,5.496010479
Faithful,27,4.160464528
Faithful,27,1.967942332
Faithful,42,4.646430064
Faithful,27,4.6478418
Faithful,27,3.404343464
Faithful,32,2.833106556
Faithful,32,3.56176432
Faithful,22,3.986193469
Faithful,37,5.3130292
Faithful,27,5.93898083
Faithful,27,3.518660322
Faithful,27,3.981023864
Faithful,32,4.688090071
Faithful,27,2.904392481
Faithful,52,4.036536567
Faithful,27,3.546198025
Faithful,37,4.25111137
Faithful,27,3.128664401
Faithful,52,3.228111787
Faithful,57,4.233567741
Faithful,27,2.928231054
Faithful,37,3.069291275
Faithful,22,2.702280353
Faithful,32,3.243991806
Faithful,37,4.134751089
Faithful,22,2.360666854
Faithful,42,2.504990568
Faithful,52,0.730787299
Faithful,37,1.627219616
Faithful,27,2.851586804
Faithful,32,5.119201678
Faithful,27,5.825119311
Faithful,27,5.97768659
Faithful,37,3.809360081
Faithful,47,3.990926104
Faithful,32,5.541534781
Faithful,27,2.326951079
Faithful,57,1.030595543
Faithful,22,3.82176683
Faithful,42,3.491690496
Faithful,57,1.82459051
Faithful,57,3.857879622
Faithful,22,5.003149452
Faithful,32,6.094550551
Faithful,42,3.275589585
Faithful,27,5.540141856
Faithful,32,1.251424188
Faithful,27,4.888331856
Faithful,27,4.195085103
Faithful,32,2.657814921
Faithful,37,4.469844572
Faithful,42,2.249414773
Faithful,32,5.571465596
Faithful,32,2.539509253
Faithful,37,5.666506162
Faithful,22,5.38720462
Faithful,27,6.166403955
Faithful,27,4.791597859
Faithful,27,4.758145331
Faithful,32,5.738473337
Faithful,32,5.625267681
Faithful,22,5.397488017
Faithful,27,3.376517165
Faithful,27,3.017213777
Faithful,37,4.131304837
Faithful,37,1.990053516
Faithful,22,4.836315104
Faithful,37,3.684906759
Faithful,22,5.921241931
Faithful,52,1.505521351
Faithful,22,6.005526682
Faithful,32,4.528512469
Faithful,32,5.017629509
Faithful,22,5.108849358
Faithful,27,3.553659101
Faithful,22,1.685857757
Faithful,27,3.239880884
Faithful,37,2.598500607
Faithful,22,5.764940896
Faithful,37,3.410390775
Faithful,37,3.571181594
Faithful,42,3.924440256
Faithful,22,4.833417721
Faithful,52,2.246415516
Faithful,27,3.653597172
Faithful,27,4.875321672
Faithful,42,4.619579189
Faithful,22,4.907929178
Faithful,22,5.153364037
Faithful,22,4.342220135
Faithful,37,5.382362429
Faithful,37,2.686882793
Faithful,42,6.124570196
Faithful,47,6.038057092
Faithful,22,4.525917861
Faithful,32,3.407216767
Faithful,22,4.226793887
Faithful,32,2.73253918
Faithful,27,5.147941015
Faithful,37,4.791220485
Faithful,42,4.246241585
Faithful,37,3.543745775
Faithful,32,5.191165571
Faithful,42,6.372518373
Faithful,27,3.888607777
Faithful,22,4.811322516
Faithful,27,2.330287107
Faithful,22,4.763763255
Faithful,52,4.877289516
Faithful,32,4.361584633
Faithful,37,3.303397229
Faithful,32,3.999722273
Faithful,42,4.329151995
Faithful,32,4.471171907
Faithful,27,4.55188616
Faithful,32,4.126351019
Faithful,22,3.370443111
Faithful,22,2.268523087
Faithful,42,5.005618552
Faithful,52,4.353980555
Faithful,37,3.439972016
Faithful,47,3.057566763
Faithful,57,2.890676474
Faithful,32,4.537314303
Faithful,27,3.67395268
Faithful,22,3.174618066
Faithful,22,4.582547444
Faithful,22,4.317126782
Faithful,42,6.938595757
Faithful,57,4.203363125
Faithful,27,5.020533561
Faithful,22,5.685218933
Faithful,37,2.834733142
Faithful,32,3.817860262
Faithful,22,4.864639294
Faithful,22,2.554581345
Faithful,52,5.067845021
Faithful,37,1.285365463
Faithful,32,5.488181572
Faithful,42,4.833009773
Faithful,27,7.501909853
Faithful,37,4.199699646
Faithful,27,5.00027644
Faithful,22,3.557608576
Faithful,32,2.749369934
Faithful,27,5.677320675
Faithful,27,0.266709725
Faithful,32,3.521822427
Faithful,37,4.946273266
Faithful,47,3.910794395
Faithful,27,5.508724943
Faithful,37,3.77500295
Faithful,32,4.184611395
Faithful,32,4.830869074
Faithful,42,3.320224604
Faithful,27,4.465037256
Faithful,27,2.883655748
Faithful,22,5.990926879
Faithful,27,3.00326388
Faithful,27,2.023353973
Faithful,37,3.751474819
Faithful,37,1.660382658
Faithful,22,5.079183257
Faithful,37,2.33816634
Faithful,22,2.376926162
Faithful,32,4.76655342
Faithful,27,3.367220537
Faithful,22,4.781918207
Faithful,27,4.683095891
Faithful,37,2.941764363
Faithful,37,3.871963466
Faithful,27,2.677566792
Faithful,32,6.901202524
Faithful,32,3.621862851
Faithful,22,5.499453396
Faithful,22,3.891496891
Faithful,17.5,4.143618126
Faithful,32,4.429329429
Faithful,32,3.435905016
Faithful,37,3.507093072
Faithful,32,5.161375136
Faithful,27,2.687550806
Faithful,22,5.026604742
Faithful,47,4.591327265
Faithful,27,4.470635735
Faithful,37,4.15119163
Faithful,42,6.627565793
Faithful,32,4.506493534
Faithful,52,3.53412697
Faithful,22,4.96056985
Faithful,52,3.82954913
Faithful,22,5.803306056
Faithful,22,4.870642992
Faithful,27,5.627136052
Faithful,32,4.668549709
Faithful,27,5.452841867
Faithful,32,4.636603112
Faithful,37,4.748971924
Faithful,32,5.563312122
Faithful,32,4.782390862
Faithful,37,2.642705797
Faithful,32,4.741794775
Faithful,32,3.840114601
Faithful,47,4.372115162
Faithful,27,5.037665944
Faithful,27,3.624571039
Faithful,37,1.59563652
Faithful,27,4.313085191
Faithful,37,5.037214173
Faithful,32,5.683021304
Faithful,27,4.695972631
Faithful,27,4.5294999
Faithful,37,2.876952297
Faithful,27,4.558810573
Faithful,22,5.397679942
Faithful,22,4.481304462
Faithful,42,3.710350986
Faithful,27,4.325006011
Faithful,27,2.161755481
Faithful,52,2.738407202
Faithful,27,3.102586515
Faithful,27,5.099005946
Faithful,27,4.961571944
Faithful,22,3.973554887
Faithful,27,4.44294354
Faithful,27,5.21162555
Faithful,47,6.041647442
Faithful,32,3.114006965
Faithful,42,6.049960173
Faithful,22,2.986313678
Faithful,27,4.421876249
Faithful,32,6.037278423
Faithful,22,5.38916098
Faithful,47,4.705837702
Faithful,32,4.5376809
Faithful,57,4.027247669
Faithful,27,5.002651205
Faithful,32,6.220642547
Faithful,37,4.591610496
Faithful,32,4.110604274
Faithful,22,4.589981484
Faithful,27,2.068946555
Faithful,57,2.437686338
Faithful,32,5.077066158
Faithful,27,3.356565349
Faithful,22,6.121899285
Faithful,22,5.162018268
Faithful,32,4.927177636
Faithful,47,3.767578756
Faithful,22,4.309456348
Faithful,22,3.958056273
Faithful,27,4.410066306
Faithful,52,5.062291565
Faithful,32,4.441045859
Faithful,47,4.273135086
Faithful,27,3.000877929
Faithful,22,4.355385449
Faithful,32,3.018536555
Faithful,22,4.194030796
Faithful,22,5.961484414
Faithful,42,4.293999779
Faithful,27,4.8762565
Faithful,42,4.708045795
Faithful,57,2.701050782
Faithful,42,2.667482649
Faithful,32,1.94122437
Faithful,22,4.916579667
Faithful,22,4.37850477
Faithful,22,4.689804814
Faithful,32,6.692578074
Faithful,22,3.92514743
Faithful,27,5.993604844
Faithful,27,4.983103611
Faithful,42,4.018751991
Faithful,32,2.859401813
Faithful,57,2.178031214
Faithful,37,5.450078535
Faithful,52,4.097373172
Faithful,47,5.840740116
Faithful,27,3.365501052
Faithful,27,5.178214667
Faithful,22,1.668468241
Faithful,37,4.315165944
Faithful,27,2.75095825
Faithful,42,3.362695276
Faithful,22,4.108273474
Faithful,22,2.643637231
Faithful,57,5.52556309
Faithful,37,3.874504637
Faithful,27,5.78667554
Faithful,17.5,4.528504817
Faithful,22,3.086730557
Faithful,27,2.397402764
Faithful,37,1.269468454
Faithful,22,4.160715264
Faithful,27,3.640742599
Faithful,27,5.046473735
Faithful,22,6.381346346
Faithful,27,3.205784588
Faithful,32,2.047081089
Faithful,32,4.032664541
Faithful,32,3.731980929
Faithful,22,4.504637682
Faithful,27,2.289749675
Faithful,52,3.842744594
Faithful,27,2.65042271
Faithful,27,3.496544453
Faithful,42,5.107510643
Faithful,42,4.633704555
Faithful,27,3.228082715
Faithful,27,1.713777588
Faithful,42,3.702086078
Faithful,27,5.095503678
Faithful,27,4.346395341
Faithful,22,5.656962949
Faithful,27,3.197106442
Faithful,22,4.971359559
Faithful,22,4.451107036
Faithful,47,3.644467099
Faithful,37,1.922887321
Faithful,37,4.215270656
Faithful,27,3.877841514
Affair,27,3.16774594
Affair,27,4.274979445
Affair,37,2.048163498
Affair,32,2.507762088
Faithful,22,4.608777186
Faithful,22,5.140719716
Affair,37,2.249143271
Affair,22,3.088141704
Affair,37,4.463877026
Affair,32,1.786298618
Faithful,37,1.698006458
Affair,42,4.828924537
Affair,42,1.57915206
Affair,37,1.437436932
Affair,32,3.194047881
Affair,27,4.101128065
Affair,37,1.931760322
Affair,27,4.971388974
Faithful,42,4.775052534
Faithful,47,5.755763001
Affair,27,6.285287203
Faithful,27,2.869505043
Affair,27,3.401666927
Affair,27,2.225339758
Affair,42,3.75715156
Affair,27,2.669572786
Faithful,27,0.751939798
Faithful,32,2.840134067
Faithful,27,2.417408332
Affair,32,4.748292748
Affair,27,3.162445703
Faithful,17.5,4.29755555
Faithful,32,4.952969782
Affair,32,5.418490705
Affair,37,3.185729921
Affair,37,2.9777227
Affair,32,4.620091776
Affair,52,2.554050918
Affair,42,1.771731947
Faithful,52,3.117274722
Affair,37,4.677623636
Affair,22,4.797125158
Affair,27,2.74069956
Faithful,27,5.175455905
Affair,47,5.642267591
Affair,42,1.459216206
Affair,27,4.913509458
Affair,32,6.476005842
Faithful,32,3.399524293
Affair,47,2.436988174
Affair,37,4.758173006
Affair,22,2.875178588
Faithful,27,4.860130133
Affair,52,2.412116274
Faithful,27,1.98072804
Faithful,27,2.734092506
Faithful,32,4.214923422
Affair,32,0.65491985
Affair,22,3.41870016
Affair,22,4.533527093
Affair,42,4.018815796
Affair,57,5.343431358
Affair,32,2.762807914
Faithful,27,2.481014907
Affair,32,4.99393618
Affair,57,4.3041184
Affair,42,1.59028263
Affair,37,3.10329899
Affair,42,1.163710921
Faithful,52,4.555627764
Affair,27,3.005519286
Affair,32,2.61436072
Faithful,22,5.099175584
Affair,27,4.046509791
Affair,37,5.455922399
Affair,32,3.508257779
Affair,27,4.432103151
Faithful,32,2.439074527
Faithful,32,2.87540523
Affair,42,2.757521033
Affair,32,4.813524606
Affair,37,3.299725807
Faithful,27,3.593391581
Affair,42,2.995838988
Faithful,27,3.823265264
Affair,37,2.407016755
Affair,27,3.534221571
Affair,27,1.603015716
Affair,32,5.48315157
Affair,17.5,3.320795231
Affair,32,3.7706481
Affair,22,3.376708113
Faithful,32,4.044241211
Affair,27,2.275052707
Faithful,22,2.125688246
Affair,32,1.940312014
Affair,42,1.096505301
Affair,42,3.307413865
Affair,32,1.758698314
Affair,32,0.66619116
Affair,57,5.736274538
Affair,47,2.991942101
Affair,42,3.130195454
Affair,37,4.387874164
Affair,37,2.135876135
Affair,27,3.843609
Affair,37,3.679419337
Affair,32,2.456864606
Affair,32,3.546634863
Affair,37,0.734699723
Affair,27,4.508093141
Affair,47,2.506103851
Affair,37,4.102361177
Affair,27,5.233867435
Affair,27,3.967866511
Faithful,22,3.098440157
Affair,52,4.668902568
Affair,27,4.33710112
Affair,37,3.421903156
Affair,27,1.455173964
Affair,17.5,5.162163298
Affair,32,3.711184414
Affair,22,4.628140697
Affair,32,3.354205911
Faithful,22,2.370988702
Affair,42,3.180838857
Faithful,32,3.684073413
Affair,37,2.455841759
Faithful,42,1.679189072
Faithful,27,4.143072779
Affair,37,3.727046578
Affair,37,4.850966555
Affair,22,1.519290446
Affair,32,0.916473943
Affair,32,6.317709318
Affair,52,5.417047367
Affair,47,4.115176179
Affair,32,4.325933182
Affair,32,1.305856189
Affair,27,2.198596647
Affair,42,2.649172389
Affair,42,2.973523211
Affair,27,4.21011417
Affair,32,4.612951475
Affair,47,2.13611327
Faithful,22,4.161736618
Affair,32,4.292059112
Affair,32,4.987637535
Affair,22,1.433138814
Faithful,32,4.458211794
